form_key,question_id,semantic_identity,schema_id,analysis_classification,role,form_pointer,mapping_status,included_in_proposed_overlap,included_in_accepted_overlap,xml_path,type_source,type,xsd_source
KeyContacts,question:organization:legal-name,question:organization:legal-name::role:applicant_organization,urn:grants-form-kernel:questions:organization:legal-name:v1,semantic_question,applicant_organization,/properties/applicant_organization_name,agent_proposed,True,False,/Key_Contacts_2_0/ApplicantOrganizationName,GlobalLibrary-V2.0.xsd#OrganizationNameDataType,string,https://apply07.grants.gov/apply/forms/schemas/Key_Contacts_2_0-V2.0.xsd
KeyContacts,question:key-contact:project-role,question:key-contact:project-role::role:key_contact,urn:grants-form-kernel:questions:contact-project-role:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/project_role,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactProjectRole,Key_Contacts_2_0-V2.0.xsd#ContactProjectRole,string,https://apply07.grants.gov/apply/forms/schemas/Key_Contacts_2_0-V2.0.xsd
KeyContacts,question:person:name:prefix,question:person:name:prefix::role:key_contact,urn:grants-form-kernel:questions:person-name-prefix:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/name/properties/prefix,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactName/PrefixName,GlobalLibrary-V2.0.xsd#PrefixNameDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:person:name:first,question:person:name:first::role:key_contact,urn:grants-form-kernel:questions:person-name-first:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/name/properties/first_name,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactName/FirstName,GlobalLibrary-V2.0.xsd#FirstNameDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:person:name:middle,question:person:name:middle::role:key_contact,urn:grants-form-kernel:questions:person-name-middle:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/name/properties/middle_name,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactName/MiddleName,GlobalLibrary-V2.0.xsd#MiddleNameDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:person:name:last,question:person:name:last::role:key_contact,urn:grants-form-kernel:questions:person-name-last:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/name/properties/last_name,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactName/LastName,GlobalLibrary-V2.0.xsd#LastNameDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:person:name:suffix,question:person:name:suffix::role:key_contact,urn:grants-form-kernel:questions:person-name-suffix:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/name/properties/suffix,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactName/SuffixName,GlobalLibrary-V2.0.xsd#SuffixNameDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:person:title,question:person:title::role:key_contact,urn:grants-form-kernel:questions:person-title:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/title,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactTitle,GlobalLibrary-V2.0.xsd#HumanTitleDataType,string,https://apply07.grants.gov/apply/forms/schemas/Key_Contacts_2_0-V2.0.xsd
KeyContacts,question:person:organizational-affiliation,question:person:organizational-affiliation::role:key_contact,urn:grants-form-kernel:questions:person-organizational-affiliation:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/organizational_affiliation,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactOrganizationalAffiliation,GlobalLibrary-V2.0.xsd#OrganizationNameDataType,string,https://apply07.grants.gov/apply/forms/schemas/Key_Contacts_2_0-V2.0.xsd
KeyContacts,question:address:street-1,question:address:street-1::role:key_contact,urn:grants-form-kernel:questions:address-street-1:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/street1,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/Street1,GlobalLibrary-V2.0.xsd#StreetDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:address:street-2,question:address:street-2::role:key_contact,urn:grants-form-kernel:questions:address-street-2:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/street2,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/Street2,GlobalLibrary-V2.0.xsd#StreetDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:address:city,question:address:city::role:key_contact,urn:grants-form-kernel:questions:address-city:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/city,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/City,GlobalLibrary-V2.0.xsd#CityDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:address:county,question:address:county::role:key_contact,urn:grants-form-kernel:questions:address-county:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/county,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/County,GlobalLibrary-V2.0.xsd#CountyDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:address:state,question:address:state::role:key_contact,urn:grants-form-kernel:questions:address-state:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/state,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/State,UniversalCodes-V2.0.xsd#StateCodeDataTypeV3,string,https://apply07.grants.gov/apply/system/schemas/UniversalCodes-V2.0.xsd
KeyContacts,question:address:province,question:address:province::role:key_contact,urn:grants-form-kernel:questions:address-province:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/province,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/Province,GlobalLibrary-V2.0.xsd#ProvinceDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
KeyContacts,question:address:country,question:address:country::role:key_contact,urn:grants-form-kernel:questions:address-country:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/country,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/Country,UniversalCodes-V2.0.xsd#CountryCodeDataTypeV3,string,https://apply07.grants.gov/apply/system/schemas/UniversalCodes-V2.0.xsd
KeyContacts,question:address:postal-code,question:address:postal-code::role:key_contact,urn:grants-form-kernel:questions:address-postal-code:v1,semantic_question,key_contact,/properties/key_contacts/items/properties/address/properties/zip_code,agent_proposed,True,False,/Key_Contacts_2_0/RoleOnProject[]/ContactAddress/ZipPostalCode,GlobalLibrary-V2.0.xsd#ZipPostalCodeDataType,string,https://apply07.grants.gov/apply/system/schemas/GlobalLibrary-V2.0.xsd
