form_a,form_b,comparison_basis,proposed_similarity,proposed_questions_in_common,proposed_unique_questions,form_a_proposed_coverage,form_b_proposed_coverage,template_proposed_similarity,template_proposed_questions_in_common,accepted_similarity,accepted_questions_in_common
KeyContacts,RRBudget,question_id_plus_role,0.008333333333333333,1,120,0.05,0.009900990099009901,0.05217391304347826,6,0.0,0
KeyContacts,RRBudget10,question_id_plus_role,0.008333333333333333,1,120,0.05,0.009900990099009901,0.05217391304347826,6,0.0,0
KeyContacts,RRMPBudget,question_id_plus_role,0.0,0,121,0.0,0.0,0.05217391304347826,6,0.0,0
KeyContacts,RRSubawardBudget30,question_id_plus_role,0.0,0,121,0.0,0.0,0.05217391304347826,6,0.0,0
KeyContacts,SF424,question_id_plus_role,0.010869565217391304,1,92,0.05,0.0136986301369863,0.2878787878787879,19,0.0,0
RRBudget,RRBudget10,question_id_plus_role,1.0,101,101,1.0,1.0,1.0,101,0.0,0
RRBudget,RRMPBudget,question_id_plus_role,0.0,0,202,0.0,0.0,1.0,101,0.0,0
RRBudget,RRSubawardBudget30,question_id_plus_role,0.0,0,202,0.0,0.0,1.0,101,0.0,0
RRBudget,SF424,question_id_plus_role,0.005780346820809248,1,173,0.009900990099009901,0.0136986301369863,0.0375,6,0.0,0
RRBudget10,RRMPBudget,question_id_plus_role,0.0,0,202,0.0,0.0,1.0,101,0.0,0
RRBudget10,RRSubawardBudget30,question_id_plus_role,0.0,0,202,0.0,0.0,1.0,101,0.0,0
RRBudget10,SF424,question_id_plus_role,0.005780346820809248,1,173,0.009900990099009901,0.0136986301369863,0.0375,6,0.0,0
RRMPBudget,RRSubawardBudget30,question_id_plus_role,0.0,0,202,0.0,0.0,1.0,101,0.0,0
RRMPBudget,SF424,question_id_plus_role,0.0,0,174,0.0,0.0,0.0375,6,0.0,0
RRSubawardBudget30,SF424,question_id_plus_role,0.0,0,174,0.0,0.0,0.0375,6,0.0,0
