form_a,form_b,questions_a,questions_b,questions_common,questions_union,similarity,percent_a_shared_by_b,percent_b_shared_by_a,mapping_basis,accepted_questions_common,accepted_questions_union,accepted_similarity
PHSFellowshipSupplemental,RRBudget,37,47,3,81,0.037037037037037035,0.08108108108108109,0.06382978723404255,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,RRBudget10,37,46,3,80,0.0375,0.08108108108108109,0.06521739130434782,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,RRMPBudget,37,61,0,98,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,RRMPSubawardBudget,37,62,0,99,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,RRSF424,37,107,0,144,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,RRSubawardBudget10_30,37,46,3,80,0.0375,0.08108108108108109,0.06521739130434782,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,RRSubawardBudget30,37,47,3,81,0.037037037037037035,0.08108108108108109,0.06382978723404255,working_explicit_semantic_ids,0,0,
PHSFellowshipSupplemental,SF424,37,0,0,37,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRBudget,RRBudget10,47,46,45,48,0.9375,0.9574468085106383,0.9782608695652174,working_explicit_semantic_ids,0,0,
RRBudget,RRMPBudget,47,61,0,108,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRBudget,RRMPSubawardBudget,47,62,0,109,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRBudget,RRSF424,47,107,0,154,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRBudget,RRSubawardBudget10_30,47,46,43,50,0.86,0.9148936170212766,0.9347826086956522,working_explicit_semantic_ids,0,0,
RRBudget,RRSubawardBudget30,47,47,45,49,0.9183673469387755,0.9574468085106383,0.9574468085106383,working_explicit_semantic_ids,0,0,
RRBudget,SF424,47,0,0,47,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRBudget10,RRMPBudget,46,61,0,107,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRBudget10,RRMPSubawardBudget,46,62,0,108,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRBudget10,RRSF424,46,107,0,153,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRBudget10,RRSubawardBudget10_30,46,46,44,48,0.9166666666666666,0.9565217391304348,0.9565217391304348,working_explicit_semantic_ids,0,0,
RRBudget10,RRSubawardBudget30,46,47,43,50,0.86,0.9347826086956522,0.9148936170212766,working_explicit_semantic_ids,0,0,
RRBudget10,SF424,46,0,0,46,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRMPBudget,RRMPSubawardBudget,61,62,16,107,0.14953271028037382,0.26229508196721313,0.25806451612903225,working_explicit_semantic_ids,0,0,
RRMPBudget,RRSF424,61,107,0,168,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRMPBudget,RRSubawardBudget10_30,61,46,0,107,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRMPBudget,RRSubawardBudget30,61,47,0,108,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRMPBudget,SF424,61,0,0,61,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRMPSubawardBudget,RRSF424,62,107,0,169,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRMPSubawardBudget,RRSubawardBudget10_30,62,46,0,108,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRMPSubawardBudget,RRSubawardBudget30,62,47,0,109,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRMPSubawardBudget,SF424,62,0,0,62,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRSF424,RRSubawardBudget10_30,107,46,0,153,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRSF424,RRSubawardBudget30,107,47,0,154,0.0,0.0,0.0,working_explicit_semantic_ids,0,0,
RRSF424,SF424,107,0,0,107,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRSubawardBudget10_30,RRSubawardBudget30,46,47,45,48,0.9375,0.9782608695652174,0.9574468085106383,working_explicit_semantic_ids,0,0,
RRSubawardBudget10_30,SF424,46,0,0,46,0.0,0.0,,working_explicit_semantic_ids,0,0,
RRSubawardBudget30,SF424,47,0,0,47,0.0,0.0,,working_explicit_semantic_ids,0,0,
