form_key,runtime_path,xml_path,exception,canonical_question_id,resolution
RRBudget10,budget_year[].key_persons.key_person[].funds_requested,RR_Budget10_3_0.BudgetYear.KeyPersons.KeyPerson.FundsRequested,calculation_has_semantic_mapping,concept:budget:funds-requested,excluded_from_question_denominator
RRBudget10,budget_year[].other_personnel.graduate_students.funds_requested,RR_Budget10_3_0.BudgetYear.OtherPersonnel.GraduateStudents.FundsRequested,calculation_has_semantic_mapping,concept:budget:funds-requested,excluded_from_question_denominator
RRBudget10,budget_year[].other_personnel.other[].funds_requested,RR_Budget10_3_0.BudgetYear.OtherPersonnel.Other.FundsRequested,calculation_has_semantic_mapping,concept:budget:funds-requested,excluded_from_question_denominator
RRBudget10,budget_year[].other_personnel.post_doc_associates.funds_requested,RR_Budget10_3_0.BudgetYear.OtherPersonnel.PostDocAssociates.FundsRequested,calculation_has_semantic_mapping,concept:budget:funds-requested,excluded_from_question_denominator
RRBudget10,budget_year[].other_personnel.secretarial_clerical.funds_requested,RR_Budget10_3_0.BudgetYear.OtherPersonnel.SecretarialClerical.FundsRequested,calculation_has_semantic_mapping,concept:budget:funds-requested,excluded_from_question_denominator
RRBudget10,budget_year[].other_personnel.undergraduate_students.funds_requested,RR_Budget10_3_0.BudgetYear.OtherPersonnel.UndergraduateStudents.FundsRequested,calculation_has_semantic_mapping,concept:budget:funds-requested,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_adp_computer_services,RR_MP_Budget_3_0.BudgetSummary.CumulativeADPComputerServices,calculation_has_semantic_mapping,question-candidate:sha256:3b1d37f932cec940d6d90454484dc0ad89c39e1a6217d64b7a053c497b2f8099,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_alterations_and_renovations,RR_MP_Budget_3_0.BudgetSummary.CumulativeAlterationsAndRenovations,calculation_has_semantic_mapping,question-candidate:sha256:70062032d09181819a5c3049e842ba8259361bade292976f2b9059daa19dd3bd,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_consultant_services,RR_MP_Budget_3_0.BudgetSummary.CumulativeConsultantServices,calculation_has_semantic_mapping,question-candidate:sha256:23fac51d4158a0faddd23fcaccdff171fe1a3c6ffc0eec65dd32c28c0baeb77f,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_domestic_travel_costs,RR_MP_Budget_3_0.BudgetSummary.CumulativeDomesticTravelCosts,calculation_has_semantic_mapping,question-candidate:sha256:75d01fc1e13dc43e8e1b74f2ee9585dfec2c422684e636b4700c391f61e95cbb,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_equipment_facility_rental_fees,RR_MP_Budget_3_0.BudgetSummary.CumulativeEquipmentFacilityRentalFees,calculation_has_semantic_mapping,question-candidate:sha256:ed42d5c86fe1a2dad19d010c2fb312315adc7cbc642c1d57f18869aacb759611,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_fee,RR_MP_Budget_3_0.BudgetSummary.CumulativeFee,calculation_has_semantic_mapping,question-candidate:sha256:b0d99ec3c2e439f25f654767ac769ffe72e86bef63ee1e3b1c12e3d4f9f15f91,excluded_from_question_denominator
RRMPBudget,budget_summary.cumulative_foreign_travel_costs,RR_MP_Budget_3_0.BudgetSummary.CumulativeForeignTravelCosts,calculation_has_semantic_mapping,question-candidate:sha256:f1432cb8d5d6ea2e3f2cea62b4f6c32073d5c1ec24b6ba80812754cc0a64219a,excluded_from_question_denominator
